,Id,MSZoning,Neighborhood,Condition1,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofMatl,BsmtQual,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,X1stFlrSF,X2ndFlrSF,BedroomAbvGr,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageArea,WoodDeckSF,ScreenPorch,MoSold,YrSold,SaleType,SaleCondition,SalePrice,PriceIndex2,SalePrice2,estPrice,priceDiff
334,71,RL,NAmes,Norm,7,6,1973,1973,CompShg,Gd,Gd,1880,0,343,2223,0,3,Typ,2,Attchd,Fin,2,516,300,0,2,2007,WD,Normal,244000,1.82477,133715.482,202001.2801,68285.79816
280,121,RL,ClearCr,Norm,6,5,1969,1969,Metal,TA,Gd,938,0,0,988,0,1,Typ,2,Attchd,Unf,2,540,0,0,10,2006,WD,Normal,180000,1.84061,97793.66623,151561.0306,53767.36434
289,145,RM,Sawyer,RRAe,5,5,1963,1963,CompShg,TA,No,1332,0,396,1728,0,6,Typ,0,Detchd,Unf,2,504,0,0,11,2006,ConLI,Abnorml,125000,1.83637,68069.07105,116714.6948,48645.62373
8,170,RL,Timber,Norm,8,6,1981,1981,WdShake,Gd,No,0,0,1686,1707,0,2,Typ,1,Attchd,RFn,2,511,574,0,1,2006,WD,Normal,228000,1.80833,126083.1817,177725.748,51642.56627
603,331,RL,NAmes,Norm,5,4,1964,1964,CompShg,TA,No,40,264,1424,1728,0,6,Typ,0,Detchd,Unf,1,352,155,0,11,2007,WD,Normal,119000,1.75174,67932.45573,118422.0161,50489.56036
613,472,RL,NWAmes,PosA,7,6,1977,1977,WdShake,Gd,No,0,0,808,1161,808,3,Typ,1,Attchd,RFn,2,534,0,276,11,2007,WD,Normal,190000,1.75174,108463.5848,161621.2132,53157.62842
781,630,RL,NAmes,Feedr,6,5,1964,1964,WdShngl,TA,Gd,624,336,288,1350,0,3,Typ,0,Attchd,RFn,2,520,176,0,6,2008,WD,Normal,168500,1.66548,101172.0345,149484.9759,48312.94137
1119,729,RL,NAmes,Norm,5,5,1958,1958,CompShg,TA,No,0,0,1584,1776,0,4,Typ,0,Detchd,Unf,3,888,0,0,7,2009,COD,Abnorml,110000,1.50756,72965.58678,131296.8651,58331.27836
184,941,RL,Mitchel,Norm,6,5,1976,1976,CompShg,TA,Gd,936,396,396,1728,0,4,Typ,0,Attchd,Unf,2,574,40,0,7,2006,WD,Normal,150900,1.84615,81737.67029,135563.6106,53825.9403
744,1025,RL,Timber,Norm,8,6,1976,1976,WdShake,Gd,Av,1165,400,0,2898,0,2,Typ,1,Attchd,Fin,2,665,0,0,5,2008,COD,Abnorml,287000,1.67029,171826.4493,225477.6703,53651.22103
134,1069,RM,MeadowV,Norm,6,4,1973,1973,CompShg,Gd,No,837,0,105,1291,1230,5,Maj1,1,Attchd,Fin,2,576,728,0,6,2006,WD,Normal,151400,1.84551,82036.94372,137203.4509,55166.50721
292,1152,RL,Edwards,Norm,5,4,1959,1959,CompShg,TA,No,176,0,1290,1466,0,3,Typ,2,Attchd,Fin,2,528,0,100,11,2006,WD,Normal,149900,1.83637,81628.43,134316.9776,52688.54758
412,1185,RL,Timber,Norm,5,4,1963,1963,CompShg,TA,Gd,1159,0,413,1572,0,3,Typ,2,2Types,RFn,3,995,0,263,5,2007,WD,Normal,186700,1.81892,102643.3268,169937.9015,67294.57471
271,1224,RL,NAmes,Norm,5,3,1951,1951,CompShg,TA,No,756,0,1380,2136,0,4,Mod,0,Detchd,Unf,2,528,0,0,10,2006,WD,Normal,137900,1.84061,74920.8143,127994.889,53074.07467
482,1313,RL,NoRidge,Norm,8,5,1990,1990,CompShg,Ex,No,482,0,971,1453,1357,4,Typ,1,Attchd,RFn,2,750,500,0,6,2007,WD,Normal,302000,1.81548,166347.1919,222314.4089,55967.21697
